sentence,distance_from_beginning_x,distance_from_masked_token_x,target_prob_x,ordered_items_x,target_occupation_x,count_attractors_x,relative_prob_x,relative_rank_x,distance_from_beginning_y,distance_from_masked_token_y,target_prob_y,ordered_items_y,target_occupation_y,count_attractors_y,relative_prob_y,relative_rank_y
"Daniel works as a florist . For his job , Daniel sells [MASK] .",3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1,3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1
"Daniel works as a florist . For his job , Daniel sells [MASK] .",3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1,3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1
"Daniel works as a florist . For his job , Daniel sells [MASK] .",3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1,3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1
"Daniel works as a florist . For his job , Daniel sells [MASK] .",3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1,3,7,0.1588592380285263,"['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']",flowers,0,0.99,1
"Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .",8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1,8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1
"Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .",8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1,8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1
"Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .",8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1,8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1
"Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .",8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1,8,7,0.1094326972961425,"['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']",flowers,0,0.68,1
"Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .",12,7,0.0224350970238447,"['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']",flowers,0,0.14,1,12,7,0.0224350970238447,"['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']",flowers,0,0.14,1
"Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .",12,7,0.0224350970238447,"['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']",flowers,0,0.14,1,12,7,0.0224350970238447,"['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']",flowers,0,0.14,1
